algorithm,min_support,metric,min_threshold,association_rules,avg_lift,avg_confidence,avg_leverage
Apriori,0.005,lift,0.3,460,1.0928632698499774,0.09074860431076531,0.0005756525840650694
Apriori,0.005,lift,0.5,460,1.0928632698499774,0.09074860431076531,0.0005756525840650694
Apriori,0.005,confidence,0.3,0,0.0,0.0,0.0
Apriori,0.005,confidence,0.5,0,0.0,0.0,0.0
Apriori,0.01,lift,0.3,52,1.087782504452285,0.11045820210516283,0.0008576618682120276
Apriori,0.01,lift,0.5,52,1.087782504452285,0.11045820210516283,0.0008576618682120276
Apriori,0.01,confidence,0.3,0,0.0,0.0,0.0
Apriori,0.01,confidence,0.5,0,0.0,0.0,0.0
FP-Growth,0.005,lift,0.3,460,1.0928632698499774,0.09074860431076533,0.0005756525840650694
FP-Growth,0.005,lift,0.5,460,1.0928632698499774,0.09074860431076533,0.0005756525840650694
FP-Growth,0.005,confidence,0.3,0,0.0,0.0,0.0
FP-Growth,0.005,confidence,0.5,0,0.0,0.0,0.0
FP-Growth,0.01,lift,0.3,52,1.087782504452285,0.11045820210516283,0.0008576618682120276
FP-Growth,0.01,lift,0.5,52,1.087782504452285,0.11045820210516283,0.0008576618682120276
FP-Growth,0.01,confidence,0.3,0,0.0,0.0,0.0
FP-Growth,0.01,confidence,0.5,0,0.0,0.0,0.0
