algorithm,n_clusters,init,n_init,silhouette_score,davies_bouldin_score,training_time,eps,min_samples,metric,linkage,n_components,covariance_type,init_params
KMeans,3.0,k-means++,10.0,0.2962871907995026,1.0922120743345085,5.001864194869995,,,,,,,
KMeans,3.0,k-means++,20.0,0.2962871907995026,1.0922120743345085,0.08387207984924316,,,,,,,
KMeans,3.0,random,10.0,0.2962871907995026,1.0922120743345085,0.03783679008483887,,,,,,,
KMeans,3.0,random,20.0,0.2962871907995026,1.0922120743345085,0.0531306266784668,,,,,,,
KMeans,5.0,k-means++,10.0,0.3280133953261719,0.926992168903125,0.043068647384643555,,,,,,,
KMeans,5.0,k-means++,20.0,0.34600581110423156,0.8904258441115995,0.07404422760009766,,,,,,,
KMeans,5.0,random,10.0,0.34117714079236433,0.9080575502347097,0.025013446807861328,,,,,,,
KMeans,5.0,random,20.0,0.34117714079236433,0.9080575502347097,0.05820655822753906,,,,,,,
DBSCAN,,,,0.8305430230740423,0.1811062654925497,0.01986074447631836,0.5,2.0,euclidean,,,,
DBSCAN,,,,0.8305430230740423,0.1811062654925497,0.011500835418701172,0.5,2.0,manhattan,,,,
DBSCAN,,,,-1.0,-1.0,0.00406336784362793,0.5,4.0,euclidean,,,,
DBSCAN,,,,-1.0,-1.0,0.0031278133392333984,0.5,4.0,manhattan,,,,
DBSCAN,,,,0.2928703168821421,0.7079015267605112,0.01387166976928711,1.0,2.0,euclidean,,,,
DBSCAN,,,,0.5158060484332898,0.5276979216449267,0.011075496673583984,1.0,2.0,manhattan,,,,
DBSCAN,,,,-1.0,-1.0,0.001962900161743164,1.0,4.0,euclidean,,,,
DBSCAN,,,,-1.0,-1.0,0.0019745826721191406,1.0,4.0,manhattan,,,,
Hierarchical,3.0,,,0.3547671879932295,0.8633418525340306,0.06524944305419922,,,euclidean,average,,,
Hierarchical,3.0,,,0.3547671879932295,0.8633418525340306,0.003888368606567383,,,manhattan,average,,,
Hierarchical,3.0,,,0.3072747114240453,1.2020244907311666,0.006847381591796875,,,euclidean,complete,,,
Hierarchical,3.0,,,0.22944729576520706,1.424875862260491,0.005736112594604492,,,manhattan,complete,,,
Hierarchical,5.0,,,0.34692663132854756,0.8559963571877305,0.002943754196166992,,,euclidean,average,,,
Hierarchical,5.0,,,0.21840055637630165,0.8286419266156916,0.005113840103149414,,,manhattan,average,,,
Hierarchical,5.0,,,0.3395825241214361,0.8636454194800172,0.006512165069580078,,,euclidean,complete,,,
Hierarchical,5.0,,,0.3114953859585504,1.016720535588124,0.005316019058227539,,,manhattan,complete,,,
GMM,,,,0.2962871907995026,1.0922120743345085,0.019963502883911133,,,,,3.0,full,kmeans
GMM,,,,0.0039830840970906025,4.352622093660967,0.032422780990600586,,,,,3.0,full,random
GMM,,,,0.29728716983460673,1.0304364917252986,0.017185211181640625,,,,,3.0,tied,kmeans
GMM,,,,0.1253275121587405,1.6778549576137767,0.006310462951660156,,,,,3.0,tied,random
GMM,,,,0.2749299899411393,1.215196392853636,0.027881145477294922,,,,,5.0,full,kmeans
GMM,,,,0.014192580130825333,2.216478778112731,0.0520477294921875,,,,,5.0,full,random
GMM,,,,0.2749299899411393,1.215196392853636,0.015735387802124023,,,,,5.0,tied,kmeans
GMM,,,,0.14467488834578798,1.570351793505209,0.006281852722167969,,,,,5.0,tied,random
